model,N,acceptancerate,none,static,rel_static,finite,rel_finite,custom,rel_custom
aircraft,100000,0.47291,6.11257,4.72549375,0.7730780588197763,NA,NA,NA,NA
bayesian_network,100000,0.93188,25.8868625,4.73121042,0.18276492255482873,3.42250834,0.13221024139174842,NA,NA
captcha,1000,0.8149999999999997,812.6919999999999,361.99295900000004,0.44542453844753,NA,NA,NA,NA
dirichlet_process,10000,0.531,93.2752166,45.3766709,0.48648153876278427,NA,NA,NA,NA
geometric,500000,0.617016,2.51299375,2.50051625,0.9950348065927341,NA,NA,NA,NA
gmm_fixed_numclust,50000,0.5976600000000001,74.33080584,7.54399668,0.1014921955270975,4.82074418,0.0648552659361294,3.84496918,0.05172780163686707
gmm_variable_numclust,50000,0.5735000000000001,76.43687582,9.755265,0.12762511412649202,NA,NA,NA,NA
hmm,100000,0.7401899999999999,34.65966084,26.61191083,0.7678064408318659,2.75278833,0.07942340644092696,NA,NA
hurricane,1000000,0.855102,2.143815708,1.846142333,0.8611478711116898,NA,NA,NA,NA
lda_fixed_numtopic,10000,0.8071,217.9997292,26.427158400000003,0.1212256478344286,19.8575375,0.09108973471146863,5.9249875,0.027178875504768288
lda_variable_numtopic,10000,0.8261000000000001,212.2456917,24.9811459,0.11769918955674143,NA,NA,NA,NA
linear_regression,100000,0.53063,7.2368625,13.40756166,1.8526760263857438,11.97584666,1.654839602106576,NA,NA
marsaglia,500000,0.9307580000000001,1.816228416,2.252745,1.2403423380861804,NA,NA,NA,NA
pcfg,100000,0.75103,10.30198333,8.36031083,0.8115243989625054,NA,NA,NA,NA
pedestrian,100000,0.37377999999999995,3.6327304199999997,3.56404125,0.9810915862014337,NA,NA,NA,NA
urn,100000,0.52117,12.99913542,7.16407542,0.5511193774454886,NA,NA,NA,NA
hmm_unrolled,100000,0.7401899999999999,37.07361083,2.81455875,0.07591811768500457,NA,NA,NA,NA
